2019-08-06	¿ÀÀü 9:45
Function	Cp-Q
Auto Range	Enabled
Manual Impedance Range	100	Ohms
Signal Frequency	1000.000000	Hz
Signal Type	Voltage
Signal Level	1.000000
Measurement Time	Medium
Averaging Factor	1.000000
Sampling Rate	5.000000	Hz
Cp	Q
1.408130E-11	171.360000
1.407830E-11	168.283000
1.407350E-11	157.521000
1.407240E-11	171.855000
1.408980E-11	150.478000
1.407430E-11	160.790000
1.407810E-11	172.361000
1.408450E-11	162.138000
1.408500E-11	153.690000
1.409060E-11	170.909000
1.407750E-11	164.249000
1.408330E-11	174.024000
1.409130E-11	162.811000
1.408320E-11	165.996000
1.408010E-11	152.440000
1.408240E-11	145.652000
1.408400E-11	164.617000
1.409050E-11	155.070000
1.408650E-11	153.436000
1.408520E-11	152.096000
1.408110E-11	155.747000
1.408480E-11	156.843000
1.408600E-11	143.269000
1.407910E-11	168.354000
1.408610E-11	166.654000
1.408760E-11	159.648000
1.408600E-11	154.727000
1.407690E-11	175.983000
1.407140E-11	167.168000
1.407580E-11	160.433000
1.407390E-11	158.064000
1.406070E-11	168.179000
1.405270E-11	174.407000
1.404990E-11	168.253000
1.406240E-11	168.748000
1.405800E-11	164.881000
1.405680E-11	159.594000
1.405800E-11	186.506000
1.405060E-11	170.468000
1.405860E-11	158.181000
1.405440E-11	160.272000
1.405530E-11	172.716000
1.405940E-11	188.085000
1.406640E-11	159.785000
1.406370E-11	145.045000
1.406350E-11	165.491000
1.404740E-11	183.079000
1.406640E-11	173.604000
1.405960E-11	151.318000
1.407620E-11	165.756000
1.407290E-11	160.336000
1.407770E-11	147.305000
1.409260E-11	160.087000
1.408800E-11	143.040000
1.409170E-11	151.640000
1.408690E-11	169.026000
1.406810E-11	150.202000
1.408430E-11	157.628000
1.407780E-11	140.372000
1.408250E-11	168.520000
1.408580E-11	155.002000
1.408840E-11	151.098000
1.408390E-11	148.170000
1.405790E-11	147.803000
1.405140E-11	167.852000
1.404810E-11	156.129000
1.404140E-11	149.860000
1.402880E-11	168.584000
1.402260E-11	160.298000
1.403650E-11	172.823000
1.403980E-11	161.965000
1.405270E-11	148.557000
1.406830E-11	156.115000
1.405450E-11	163.083000
1.404820E-11	156.160000
1.402270E-11	149.967000
1.402880E-11	146.242000
1.401380E-11	175.183000
1.402440E-11	158.551000
1.403020E-11	161.355000
1.410810E-11	129.800000
1.415330E-11	146.051000
1.416020E-11	147.571000
1.415090E-11	127.148000
1.415940E-11	133.536000
1.414010E-11	138.187000
1.413260E-11	136.813000
1.412270E-11	135.437000
1.412970E-11	133.751000
1.412070E-11	130.016000
1.412070E-11	130.167000
1.412370E-11	148.096000
1.411100E-11	134.674000
1.412510E-11	130.114000
1.411510E-11	132.307000
1.411970E-11	144.236000
1.415260E-11	140.902000
1.416500E-11	129.248000
1.416810E-11	122.450000
1.416630E-11	135.220000
1.416310E-11	145.493000
1.416730E-11	141.155000
1.416310E-11	129.797000
1.416340E-11	146.241000
1.415330E-11	141.895000
1.415110E-11	130.908000
1.416340E-11	127.932000
1.415670E-11	125.197000
1.416840E-11	128.649000
1.416970E-11	144.183000
1.415370E-11	135.041000
1.416960E-11	132.196000
1.415310E-11	122.070000
1.416550E-11	140.655000
1.416690E-11	134.758000
1.416490E-11	131.802000
1.416120E-11	125.369000
1.414340E-11	117.946000
1.415700E-11	126.452000
1.415350E-11	138.950000
1.415980E-11	148.297000
1.414760E-11	134.481000
1.415240E-11	128.225000
1.415250E-11	143.282000
1.412970E-11	135.390000
1.413410E-11	136.022000
1.413620E-11	140.779000
1.413090E-11	142.899000
1.412140E-11	137.131000
1.412090E-11	145.107000
1.431470E-11	112.999000
1.472420E-11	63.672300
1.472620E-11	62.916400
1.451770E-11	86.688100
1.455300E-11	83.593000
1.454130E-11	81.847300
1.454310E-11	89.252200
1.455630E-11	71.826300
1.468560E-11	66.255400
1.466730E-11	63.380600
1.466620E-11	60.140200
1.468930E-11	74.999300
1.466810E-11	71.552100
1.467100E-11	71.606000
1.468990E-11	72.590600
1.468290E-11	70.789300
1.469280E-11	72.239100
1.467830E-11	72.153400
1.467880E-11	71.102300
1.466970E-11	71.936400
1.464940E-11	71.640700
1.463650E-11	71.477400
1.462620E-11	70.871300
1.462040E-11	74.970600
1.460940E-11	76.694700
1.466140E-11	75.718800
1.468150E-11	72.157000
1.467980E-11	74.280200
1.467740E-11	76.522500
1.466440E-11	75.130100
1.464800E-11	77.625300
1.464640E-11	79.683300
1.464800E-11	77.878300
1.463180E-11	79.065800
1.462740E-11	75.805200
1.463200E-11	79.646300
1.463280E-11	81.356100
1.463280E-11	77.221500
1.463970E-11	80.437400
1.388440E-11	202.499000
1.460420E-11	75.052600
1.460990E-11	80.994800
1.463250E-11	73.089200
1.472510E-11	68.420100
1.473050E-11	68.514200
1.474300E-11	66.773900
1.479650E-11	63.005600
1.483980E-11	60.479700
1.483780E-11	61.220100
1.484160E-11	61.205500
1.485180E-11	59.872900
1.483710E-11	59.616500
1.484650E-11	58.270000
1.484910E-11	60.292100
1.484390E-11	59.803400
1.484930E-11	57.573700
1.486960E-11	56.425200
1.486060E-11	54.397600
1.486960E-11	53.839100
1.488440E-11	55.028100
1.488690E-11	55.039900
1.487680E-11	57.698400
1.489060E-11	57.294800
1.489480E-11	56.623800
1.488720E-11	55.580200
1.489640E-11	56.968900
1.489000E-11	58.479800
1.489650E-11	56.857300
1.490290E-11	55.866100
1.489830E-11	57.291100
1.490440E-11	56.001600
1.489660E-11	58.308000
1.489900E-11	55.669100
1.490840E-11	55.875600
1.490640E-11	55.538000
1.490940E-11	56.560300
1.489720E-11	56.705400
1.490570E-11	54.593700
1.490120E-11	55.006800
1.490370E-11	58.126900
1.490840E-11	56.177700
1.490940E-11	54.586300
1.489730E-11	55.108000
1.491420E-11	57.660600
1.490860E-11	57.022900
1.490690E-11	54.376900
1.490620E-11	55.336800
1.491580E-11	55.703400
1.490990E-11	56.647200
1.491430E-11	56.274000
1.491110E-11	54.471300
1.490560E-11	55.252800
1.490700E-11	54.490200
1.491970E-11	55.555100
1.491550E-11	57.903400
1.490500E-11	53.934300
1.490520E-11	56.222700
1.491470E-11	56.505100
1.491890E-11	54.718900
1.490560E-11	54.634500
1.490350E-11	55.186400
1.491000E-11	55.073100
1.491680E-11	55.701500
1.491280E-11	54.595300
1.490460E-11	56.966100
1.491180E-11	55.038200
1.491610E-11	56.550300
1.490900E-11	57.736600
1.490340E-11	54.280800
1.490230E-11	56.680000
1.489780E-11	54.907400
1.490690E-11	54.403000
1.491360E-11	57.113300
1.490230E-11	55.093000
1.491080E-11	57.424100
1.491010E-11	55.119700
1.491760E-11	56.199700
1.491130E-11	56.555600
1.491060E-11	57.524800
1.490960E-11	57.905100
1.492230E-11	57.196900
1.492830E-11	56.105700
1.491380E-11	57.055800
1.491770E-11	55.132500
1.493110E-11	56.151800
1.493210E-11	57.162700
1.491970E-11	54.807500
1.491600E-11	57.208400
1.491680E-11	56.638300
1.491990E-11	54.796700
1.492670E-11	57.468600
1.491940E-11	56.287100
1.492000E-11	58.165300
1.492680E-11	54.028300
1.492900E-11	55.467600
1.492040E-11	55.591500
1.491840E-11	56.361900
1.491700E-11	53.935800
1.493130E-11	53.591600
1.492450E-11	55.651500
1.492020E-11	56.569500
1.492870E-11	56.299100
1.493170E-11	55.827400
1.493390E-11	56.393100
1.492370E-11	55.407300
1.492680E-11	57.435200
1.492710E-11	57.238500
1.492210E-11	55.077100
1.493200E-11	56.231200
1.492620E-11	57.061100
1.493070E-11	57.184200
1.492950E-11	54.140000
1.492380E-11	56.630200
1.492480E-11	56.460700
1.492920E-11	57.339600
1.492160E-11	54.020800
1.492500E-11	54.106800
1.491860E-11	55.574500
1.493060E-11	56.372000
1.492490E-11	53.977300
1.493450E-11	53.728700
1.493450E-11	56.707800
1.491890E-11	55.997200
1.492980E-11	56.469300
1.492290E-11	56.829400
1.493210E-11	56.425600
1.493810E-11	55.078900
1.492020E-11	57.472400
1.492920E-11	56.662300
1.492580E-11	54.571000
1.491910E-11	54.862600
1.492620E-11	56.412900
1.492320E-11	57.111600
1.492430E-11	56.627000
1.492070E-11	54.242400
1.493370E-11	54.924500
1.492650E-11	57.211200
1.492120E-11	53.289000
1.493050E-11	54.620000
1.493580E-11	55.289500
1.492370E-11	56.398400
1.492410E-11	57.214400
1.491880E-11	56.138100
1.491630E-11	54.108700
1.493140E-11	55.322800
1.491910E-11	56.105900
1.492600E-11	57.194200
1.491790E-11	53.300200
1.492040E-11	55.606500
1.491860E-11	56.292300
1.492610E-11	53.268500
1.492360E-11	55.249500
1.491660E-11	53.716600
1.492170E-11	56.209000
1.492280E-11	56.199800
1.492100E-11	54.798800
1.492170E-11	54.301500
1.492930E-11	55.089800
1.492530E-11	56.824900
1.492720E-11	57.258000
1.492450E-11	55.634300
1.491640E-11	55.482600
1.492650E-11	54.362000
1.492860E-11	55.381400
1.493110E-11	55.098600
1.492020E-11	53.661600
1.493010E-11	55.078600
1.492040E-11	57.184000
1.493080E-11	54.801000
1.491980E-11	56.869900
1.492710E-11	53.302800
1.492110E-11	56.877700
1.492330E-11	55.607500
1.491830E-11	56.493900
1.491280E-11	55.049200
1.491340E-11	54.559700
1.492490E-11	55.893100
1.491890E-11	54.721700
1.492140E-11	54.398600
1.491960E-11	56.794900
1.491050E-11	55.074400
1.492260E-11	53.596400
1.491040E-11	54.169200
1.490900E-11	56.170600
1.492160E-11	56.391800
1.491540E-11	53.749900
1.490780E-11	55.031000
1.491700E-11	56.680400
1.491570E-11	55.501300
1.492070E-11	54.030900
1.490920E-11	53.353500
1.491910E-11	56.063000
1.490770E-11	55.963900
1.490360E-11	56.481600
1.490930E-11	53.170300
1.490010E-11	54.408700
1.490650E-11	52.518800
1.491510E-11	54.213600
1.491160E-11	56.963600
1.490600E-11	53.377300
1.490420E-11	56.551400
1.491140E-11	54.566800
1.490690E-11	53.660900
1.489960E-11	54.278600
1.489950E-11	55.815700
1.490350E-11	54.734900
1.490640E-11	53.615500
1.489970E-11	54.264200
1.489910E-11	56.495600
1.490260E-11	52.740500
1.491190E-11	53.918300
1.489890E-11	54.852400
1.489540E-11	54.524300
